Country,Region,Population,Area,Pop. Density,Infant mortality (per 1000 births),GDP ($ per capita),Birthrate,Deathrate
Georgia,C.W. OF IND. STATES,4661473,69700,66.9,18.59,2500,10.41,9.23
British Virgin Is.,LATIN AMER. & CARIB,23098,153,151,18.05,16000,14.89,4.42
Malaysia,ASIA,24385858,329750,74,17.7,9000,22.86,5.05
Jordan,NEAR EAST,5906760,92300,64,17.35,4300,21.25,2.65
Bahrain,NEAR EAST,698585,665,1050.5,17.27,16900,17.8,4.14
Greenland,NORTHERN AMERICA,56361,2166086,0,15.82,20000,15.93,7.84
Turks & Caicos Is,LATIN AMER. & CARIB,21152,430,49.2,15.67,9600,21.84,4.21
Seychelles,SUB-SAHARAN AFRICA,81541,455,179.2,15.53,7800,16.03,6.29
Russia,C.W. OF IND. STATES,142893540,17075200,8.4,15.39,8900,9.95,14.65
Argentina,LATIN AMER. & CARIB,39921833,2766890,14.4,15.18,11200,16.73,7.55
Mauritius,SUB-SAHARAN AFRICA,1240827,2040,608.3,15.03,11400,15.43,6.86
Palau,OCEANIA,20579,458,44.9,14.84,9000,18.03,6.8
Saint Vincent and the Grenadines,LATIN AMER. & CARIB,117848,389,303,14.78,2900,16.18,5.98
Grenada,LATIN AMER. & CARIB,89703,344,260.8,14.62,5000,22.08,6.88
United Arab Emirates,NEAR EAST,2602713,82880,31.4,14.51,23200,18.96,4.4
Saint Kitts & Nevis,LATIN AMER. & CARIB,39129,261,149.9,14.49,8800,18.02,8.33
Sri Lanka,ASIA,20222240,65610,308.2,14.35,3700,15.51,6.52
Dominica,LATIN AMER. & CARIB,68910,754,91.4,14.15,5400,15.27,6.73
Saint Lucia,LATIN AMER. & CARIB,168458,616,273.5,13.53,5400,19.68,5.08
Belarus,C.W. OF IND. STATES,10293011,207600,49.6,13.37,6100,11.16,14.02
Saudi Arabia,NEAR EAST,27019731,1960582,13.8,13.24,11800,29.34,2.58
Serbia,EASTERN EUROPE,9396411,88361,106.3,12.89,2200,,
Fiji,OCEANIA,905949,18270,49.6,12.62,5800,22.55,5.65
Tonga,OCEANIA,114689,748,153.3,12.62,2200,25.37,5.28
Brunei,ASIA,379444,5770,65.8,12.61,18600,18.79,3.45
Barbados,LATIN AMER. & CARIB,,431,649.5,12.5,15700,12.71,8.67
Jamaica,LATIN AMER. & CARIB,2758124,10991,250.9,12.36,3900,20.82,6.52
French Guiana,LATIN AMER. & CARIB,199509,91000,2.2,12.07,8300,20.46,4.88
Uruguay,LATIN AMER. & CARIB,3431932,176220,19.5,11.95,12800,13.91,9.05
Macedonia,EASTERN EUROPE,2050554,25333,80.9,10.09,6700,12.02,8.77
Netherlands Antilles,LATIN AMER. & CARIB,221736,960,231,10.03,11400,14.78,6.45
Costa Rica,LATIN AMER. & CARIB,4075261,51100,79.8,9.95,9100,18.32,4.36
Kuwait,NEAR EAST,2418393,17820,135.7,9.95,19000,21.94,2.41
Nauru,OCEANIA,13287,21,632.7,9.95,5000,24.76,6.7
Latvia,BALTICS,2274735,64589,35.2,9.55,10200,9.24,13.66
American Samoa,OCEANIA,57794,199,290.4,9.27,8000,22.46,3.27
